laptop_model,brand,price,num_votes,ratings,thickness,weight,warranty,screen_size,resolution_width,resolution_height,ppi,threads,ram,antiglare,aspect_ratio,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,inbuilt_microphone,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd
HP 14-ep0068TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,38490,163.0,4.15,0.0,1.4,1.0,14.0,1920.0,1080.0,157,8.0,8,1,0,0,8.0,41.0,3.0,1,0,0,0,0,0,0,0,1,,2.0,1.0,13.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0
Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),Asus,61990,153.0,4.4,19.9,1.8,1.0,16.0,1920.0,1200.0,283,16.0,16,1,16:10,0,8.0,,,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,1,0,0,0,,512.0
Infinix INBook X3 Slim XL422 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),Infinix,37990,219.0,4.15,14.8,1.24,1.0,14.0,1920.0,1080.0,157,12.0,16,0,0,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,1,,,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Lenovo Legion Y9000X 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),Lenovo,148990,87.0,4.2,0.0,,1.0,16.0,3200.0,2000.0,236,20.0,32,1,16:10,0,14.0,99.0,3.0,1,1,0,1,0,0,1,0,1,,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,0,1,,1024.0
HP Victus 15-fa0555TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),HP,71960,104.0,4.35,23.5,2.29,1.0,15.6,1920.0,1080.0,141,12.0,16,1,0,0,8.0,70.0,4.0,1,1,1,0,0,0,1,0,1,,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Honor MagicBook X14 2023 FRI-F56 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Honor,46990,442.0,4.2,17.0,1.43,1.0,14.0,1920.0,1200.0,162,12.0,16,1,16:9,0,8.0,60.0,,1,0,0,0,0,0,1,1,1,,2.0,1.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
Wings Nuvobook S1 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),Wings,25990,92.0,4.5,18.4,1.6,1.0,15.6,1080.0,1920.0,141,8.0,8,1,0,0,4.0,17.85,,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,0,1,0,0,,256.0
Acer Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,49990,458.0,4.15,19.9,2.1,1.0,15.6,1920.0,1080.0,141,12.0,16,0,0,0,8.0,,3.0,1,1,0,0,0,0,1,0,1,,3.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0
MSI GF63 Thin 11UC-1294IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph),MSI,63990,713.0,4.3,21.7,1.86,2.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,8.0,,3.0,1,1,0,0,0,0,1,0,1,,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,1024.0,0.0
MSI GF63 Thin 11UC-1293IN Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),MSI,64990,705.0,4.3,21.7,1.86,2.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,8.0,52.4,3.0,1,1,0,0,0,0,1,0,1,,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Dell,37516,478.0,4.1,21.0,1.65,1.0,15.6,1920.0,1080.0,141,8.0,8,1,0,0,6.0,41.0,3.0,1,0,1,0,1,0,0,0,1,1.0,2.0,,12.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),Asus,53981,149.0,4.25,20.0,1.88,1.0,16.0,1920.0,1200.0,142,12.0,16,1,16:10,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,0,1,,512.0
HP 247 G8 67U77PA Laptop (Athlon P-3045B HD/ 8GB/ 1TB HDD/ Win11),HP,22980,1043.0,3.55,19.9,1.47,1.0,14.0,1366.0,768.0,112,,8,1,0,0,,,,1,1,1,0,0,0,0,0,1,,2.0,1.0,,amd,3,amd,,Integrated,1,0,0,0,1024.0,0.0
Xiaomi Mi Notebook Ultra Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),Xiaomi,46990,2073.0,4.2,17.9,1.7,1.0,15.6,3200.0,2000.0,242,8.0,16,0,16:10,0,4.0,,,1,0,0,1,0,0,1,1,1,1.0,1.0,1.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Lenovo,56990,76.0,4.7,0.0,1.46,1.0,14.0,1920.0,1080.0,141,12.0,16,1,0,0,8.0,56.6,,1,0,0,0,0,0,1,0,1,,2.0,2.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),Infinix,29990,154.0,4.35,211.1,1.24,1.0,14.0,1920.0,1080.0,157,8.0,8,0,16:9,0,6.0,50.0,3.0,1,0,0,0,0,0,1,0,1,,,2.0,12.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0
Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Asus,89990,107.0,4.55,30.4,2.5,1.0,16.0,1920.0,1200.0,142,16.0,16,1,16:10,0,10.0,,4.0,1,0,0,1,0,0,1,0,1,,2.0,1.0,13.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,512.0
Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Asus,55990,73.0,4.0,0.0,1.7,1.0,15.6,1920.0,1080.0,141,16.0,8,1,16:9,0,12.0,42.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Acer Aspire Lite AL15-51 UN.431SI.252 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Acer,27990,141.0,4.35,19.7,1.59,1.0,15.6,1920.0,1080.0,141,4.0,8,1,16:9,0,2.0,36.0,3.0,1,1,1,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0
Acer One 14 Z8-415UN.599SI.009 Laptop (11th Gen Core i3 / 8GB/ 256GB SSD/ Win11 Home),Acer,24990,1153.0,4.1,21.6,1.5,1.0,14.0,1920.0,1080.0,157,4.0,8,1,0,0,2.0,45.5,,1,1,0,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,256.0
Acer One 14 Z8-415 Laptop (11th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),Acer,32990,783.0,3.95,21.6,1.5,1.0,14.0,1920.0,1080.0,135,8.0,8,0,0,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
HP 255 G9 7B1L8PA Laptop (AMD Ryzen 5 5625U/ 8GB/ 512 GB SSD/ Win11 Home),HP,36850,106.0,4.0,17.9,1.75,1.0,15.6,1366.0,768.0,100,12.0,8,1,0,0,6.0,41.0,3.0,1,1,1,0,0,0,0,0,1,,2.0,1.0,5.0,amd,5,amd,,Integrated,1,0,0,0,,512.0
Lenovo V15 82C70005UK Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,36990,159.0,3.95,19.9,1.7,1.0,15.6,1920.0,1080.0,147,12.0,8,1,0,0,6.0,38.0,,1,1,0,0,0,0,0,0,1,1.0,1.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0
Dell G15-5520 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),Dell,67990,246.0,4.3,26.9,2.57,1.0,15.6,1920.0,1080.0,141,16.0,8,1,0,0,12.0,41.0,3.0,1,1,0,0,0,0,1,0,1,1.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Lenovo E41-55 Laptop (Athlon Pro 3045B/ 8GB/ 256 SSD/ Win11),Lenovo,18990,60.0,4.2,0.0,1.8,1.0,14.0,1920.0,1080.0,157,2.0,8,1,0,0,2.0,,,1,0,1,0,0,0,0,0,1,1.0,1.0,1.0,,amd,3,amd,,Integrated,1,0,0,0,,256.0
Dell Inspiron 3511 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Dell,35980,1375.0,4.1,23.5,1.8,1.0,15.56,1920.0,1080.0,147,4.0,8,0,16:9,0,2.0,,3.0,1,0,1,0,0,0,1,0,1,1.0,2.0,,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512B SSD/ Win11/ 6GB Graph),HP,80990,104.0,4.0,22.9,2.31,1.0,16.1,1920.0,1080.0,137,16.0,16,1,16:9,0,8.0,70.0,4.0,1,1,0,0,0,0,1,0,1,,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,512.0
HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),HP,53999,107.0,4.3,242.0,1.69,1.0,15.6,1920.0,1080.0,141,12.0,8,1,16:9,0,10.0,41.0,3.0,1,0,1,0,0,0,0,0,1,,,1.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
Lenovo IdeaPad Slim 5 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Lenovo,58989,110.0,4.6,17.9,1.89,1.0,16.0,1920.0,1080.0,141,12.0,16,1,16:10,0,8.0,56.6,,1,0,0,0,0,0,1,0,1,,2.0,2.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
MSI Katana 15 B13VFK-843IN Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),MSI,126990,110.0,4.1,24.9,2.25,2.0,15.6,1920.0,1080.0,141,20.0,16,1,0,0,14.0,53.5,3.0,1,1,0,0,0,0,1,0,1,1.0,2.0,1.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,1,0,,1024.0
Acer Aspire Lite AL15-51 2023 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Acer,42999,154.0,3.75,19.7,1.59,1.0,15.6,1920.0,1080.0,141,8.0,16,1,16:9,0,4.0,36.0,3.0,1,1,1,0,0,0,0,0,1,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),Dell,84499,118.0,4.05,19.5,1.59,1.0,14.0,1920.0,1200.0,141,16.0,16,1,16:10,0,12.0,54.0,4.0,1,0,1,0,0,0,1,1,1,,2.0,1.0,13.0,intel,i7,intel,,Integrated,1,0,0,0,,1024.0
Infinix INBook X2 Slim Series Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),Infinix,30990,423.0,4.3,14.8,1.24,1.0,14.0,1920.0,1080.0,157,4.0,8,0,0,0,2.0,50.0,,1,0,0,0,0,0,1,0,1,,2.0,2.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,256.0
HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,74990,68.0,4.55,17.9,1.75,1.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,12.0,41.0,3.0,1,0,0,0,0,0,1,0,1,,2.0,1.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
HP Victus 16-d0333TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,62750,439.0,4.35,23.5,2.46,1.0,16.1,1920.0,1080.0,137,12.0,16,1,16:9,0,6.0,70.0,4.0,1,1,1,0,1,0,1,0,1,,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
Asus Vivobook Pro 15 M6500QC-HN542WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,65990,251.0,4.3,19.9,1.8,1.0,15.6,1920.0,1080.0,141,12.0,16,1,16:9,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),Primebook,11990,1923.0,4.2,19.3,1.2,1.0,11.6,1366.0,768.0,135,,4,0,0,0,8.0,,,0,0,0,0,0,0,0,0,1,,2.0,,,mediatek,7,arm,,Integrated,1,0,0,0,64.0,0.0
Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,49990,750.0,4.0,17.9,1.8,1.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,12.0,,3.0,1,1,0,1,0,0,1,0,1,,2.0,2.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Dell,72990,504.0,4.15,26.9,2.57,1.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,1,1.0,3.0,,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),Asus,29990,91.0,4.55,19.9,1.8,1.0,15.6,1920.0,1080.0,141,4.0,8,1,16:9,0,2.0,37.0,2.0,1,0,0,0,0,0,1,1,1,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,256.0
Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),Acer,144990,101.0,4.65,2.6,2.6,1.0,16.0,1920.0,1200.0,142,32.0,16,1,0,0,24.0,90.0,4.0,1,1,0,1,0,0,1,0,1,,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0
Asus Vivobook 14X OLED 2023 K3405VCB-KM951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/4 GB Graphics),Asus,109990,76.0,4.2,18.9,1.45,1.0,14.0,2880.0,1800.0,243,20.0,16,1,16:10,0,14.0,63.0,3.0,1,0,0,0,0,0,1,1,1,,2.0,1.0,13.0,intel,i9,nvidia,4.0,rtx3050,0,0,1,0,,1024.0
HP Victus 15-fa0187TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),HP,87990,110.0,4.6,22.5,2.29,1.0,15.6,1920.0,1080.0,137,16.0,16,1,16:9,0,10.0,70.0,4.0,1,1,1,0,0,0,1,0,1,,2.0,1.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0
